Element,SiteType,Energy (eV),Group,Electronegativity,AtomicRadius,FirstIonizationEnergy,SiteTypeCode,period,block
K,ads2,-10.2746325,1,0.82,220,4.34,6,4,115
Ca,ads2,-11.89008045,2,1,180,6.11,6,4,115
Fe,ads2,-10.161039,8,1.83,140,7.9,6,4,100
Zn,ads2,-7.68221226,12,1.65,135,9.39,6,4,100
W,ads2,-11.93510312,6,2.36,135,7.86,6,6,100
Li,ads2,-8.5167388,1,0.98,145,5.39,6,2,100
Sr,ads2,-11.593077,2,0.95,200,5.69,6,5,100
Y,ads2,-10.98700628,3,1.22,180,6.22,6,5,200
La,ads2,-10.32318603,3,1.1,195,5.58,6,8,300
Zr,ads2,-11.39967352,4,1.33,155,6.63,6,5,200
Ce,ads2,-9.631326767,4,1.12,185,5.54,6,8,300
Ag,ads2,-9.016813603,11,1.93,160,7.58,6,5,200
Mn,ads2,-7.481514208,7,1.55,140,7.43,6,4,200
P,ads2,-11.14647581,15,2.19,100,10.49,6,3,115
F,ads2,-12.23025325,17,3.98,50,17.42,6,2,115
Ni,ads2,-6.00252471,10,1.91,135,7.64,6,4,200
Sn,ads2,-9.44322574,14,1.96,145,7.34,6,5,115
Rh,ads2,-12.70058277,9,2.28,135,7.46,6,5,200
Te,ads2,-11.78197813,16,2.1,140,9.01,6,5,115
B,ads2,-10.58162289,13,2.04,85,8.3,1,2,115
Nb,ads2,-7.711337164,5,1.6,145,6.76,1,5,200
