Element,SiteType,Energy (eV),Group,Electronegativity,AtomicRadius,FirstIonizationEnergy,SiteTypeCode,period,block
K,Mo2,-8.16532,1,0.82,220,4.34,2,4,115
Ca,Mo2,-7.48426,2,1,180,6.11,2,4,115
Fe,Mo2,-3.10457,8,1.83,140,7.9,2,4,100
Zn,Mo2,-5.30948,12,1.65,135,9.39,2,4,100
W,Mo2,-6.68294,6,2.36,135,7.86,2,6,100
Li,Mo2,-6.71708,1,0.98,145,5.39,2,2,100
Sr,Mo2,-8.97892546,2,0.95,200,5.69,2,5,100
Y,Mo2,-10.01837628,3,1.22,180,6.22,2,5,200
La,Mo2,-9.022055079,3,1.1,195,5.58,2,8,300
Zr,Mo2,-10.48006006,4,1.33,155,6.63,2,5,200
Ce,Mo2,-10.17697785,4,1.12,185,5.54,2,8,300
Ag,Mo2,9.874477153,11,1.93,160,7.58,2,5,200
Mn,Mo2,-4.40859478,7,1.55,140,7.43,2,4,200
P,Mo2,-5.745123577,15,2.19,100,10.49,2,3,115
F,Mo2,-7.522547983,17,3.98,50,17.42,2,2,115
Ni,Mo2,-1.303114,10,1.91,135,7.64,2,4,200
Sn,Mo2,-4.375509,14,1.96,145,7.34,2,5,115
Rh,Mo2,-2.146013607,9,2.28,135,7.46,2,5,200
Te,Mo2,-2.365562236,16,2.1,140,9.01,2,5,115
B,Mo2,-8.786242421,13,2.04,85,8.3,1,2,115
Nb,Mo2,-9.020204344,5,1.6,145,6.76,1,5,200
