Element,SiteType,Energy (eV),Group,Electronegativity,AtomicRadius,FirstIonizationEnergy,SiteTypeCode,period,block
K,ads,-7.195977877,1,0.82,220,4.34,5,4,115
Ca,ads,-11.89452553,2,1,180,6.11,5,4,115
Fe,ads,-10.16131553,8,1.83,140,7.9,5,4,100
Zn,ads,-6.24380595,12,1.65,135,9.39,5,4,100
W,ads,-10.87025546,6,2.36,135,7.86,5,6,100
Li,ads,-10.8793877,1,0.98,145,5.39,5,2,100
Sr,ads,-11.545177,2,0.95,200,5.69,5,5,100
Y,ads,-9.695956277,3,1.22,180,6.22,5,5,200
La,ads,-10.32307603,3,1.1,195,5.58,5,8,300
Zr,ads,-12.29264072,4,1.33,155,6.63,5,5,200
Ce,ads,-8.846893807,4,1.12,185,5.54,5,8,300
Ag,ads,-8.271921693,11,1.93,160,7.58,5,5,200
Mn,ads,-6.481514208,7,1.55,140,7.43,5,4,200
P,ads,-11.14462131,15,2.19,100,10.49,5,3,115
F,ads,-12.22691128,17,3.98,50,17.42,5,2,115
Ni,ads,-6.001004,10,1.91,135,7.64,5,4,200
Sn,ads,-9.438762,14,1.96,145,7.34,5,5,115
Rh,ads,-12.69857605,9,2.28,135,7.46,5,5,200
Te,ads,-12.70058277,16,2.1,140,9.01,5,5,115
B,ads,-10.58064378,13,2.04,85,8.3,1,2,115
Nb,ads,-7.137735844,5,1.6,145,6.76,1,5,200
