Element,SiteType,Energy (eV),Group,Electronegativity,AtomicRadius,FirstIonizationEnergy,SiteTypeCode,period,block
K,O1,-6.11761,1,0.82,220,4.34,3,4,115
Ca,O1,-5.3751,2,1,180,6.11,3,4,115
Fe,O1,-1.4106,8,1.83,140,7.9,3,4,100
Zn,O1,-1.42022,12,1.65,135,9.39,3,4,100
W,O1,1.49863,6,2.36,135,7.86,3,6,100
Li,O1,-5.18635,1,0.98,145,5.39,3,2,100
Sr,O1,-5.44834902,2,0.95,200,5.69,3,5,100
Y,O1,-6.044966277,3,1.22,180,6.22,2,5,200
La,O1,-4.597976029,3,1.1,195,5.58,2,8,300
Zr,O1,-5.13393767,4,1.33,155,6.63,3,5,200
Ce,O1,-5.699758587,4,1.12,185,5.54,3,8,300
Ag,O1,9.874477153,11,1.93,160,7.58,3,5,200
Mn,O1,-4.40859478,7,1.55,140,7.43,3,4,200
P,O1,-3.075970817,15,2.19,100,10.49,3,3,115
F,O1,-7.761508243,17,3.98,50,17.42,3,2,115
Ni,O1,-0.551374,10,1.91,135,7.64,3,4,200
Sn,O1,-1.631929,14,1.96,145,7.34,3,5,115
Rh,O1,-0.807708207,9,2.28,135,7.46,3,5,200
Te,O1,-4.162656066,16,2.1,140,9.01,3,5,115
B,O1,-0.907747311,13,2.04,85,8.3,1,2,115
Nb,O1,-2.013258364,5,1.6,145,6.76,1,5,200
